,dip_ct,dip_pkt_size_ct
163.33.181.155,1,40
163.33.168.73,1,60
150.75.81.47,1,40
150.75.173.32,1,40
150.75.45.213,1,40
150.75.26.54,5,2175
150.75.26.45,5,2170
163.33.220.118,1,48
203.77.101.18,1,44
133.149.124.27,1,44
133.149.40.34,1,48
150.75.67.125,1,40
150.75.26.48,5,2169
133.11.79.224,1,40
133.149.111.138,1,40
163.33.73.45,1,40
150.75.78.220,1,44
203.77.39.43,1,40
163.33.86.212,1,40
163.33.145.185,2,80
133.149.148.159,1,44
163.33.188.152,1,40
203.77.117.112,1,52
150.75.26.49,5,2169
163.33.157.126,1,53
202.198.44.31,1,40
163.33.91.33,1,40
202.25.109.86,2,80
203.77.65.208,1,60
202.198.33.220,1,40
203.77.47.162,1,394
133.11.78.89,1,40
150.75.35.81,1,40
203.77.112.20,1,44
133.149.81.131,1,40
202.198.17.200,1,40
203.77.58.177,1,40
133.149.89.35,1,40
150.75.250.204,1,52
133.11.108.235,1,40
150.75.226.84,1,40
202.198.21.130,1,44
163.33.29.97,6,473
163.33.9.29,1,40
163.33.80.13,6,333
202.198.34.48,1,44
150.75.248.97,1,52
133.149.48.133,1,40
133.149.201.39,1,40
163.33.156.144,1,53
203.77.102.119,1,40
150.75.152.89,1,40
203.77.122.194,3,324
133.11.84.28,1,40
203.77.107.149,1,40
163.33.191.189,1,60
202.198.25.19,1,40
150.75.240.73,1,40
150.75.26.46,5,2172
163.33.110.132,1,121
150.75.57.135,1,40
133.149.252.21,1,40
150.75.110.123,1,40
133.149.253.179,2,80
202.198.19.187,1,40
150.75.231.100,1,40
133.149.33.195,1,40
133.149.84.202,1,40
150.75.81.69,1,40
133.149.80.11,1,40
150.75.210.31,1,40
163.33.143.3,1,52
202.198.16.159,1,52
163.33.230.196,1,40
150.75.146.86,1,40
203.77.60.55,1,40
150.75.117.13,1,40
163.33.44.250,1,40
150.75.173.68,1,44
163.33.176.184,1,40
203.77.8.25,1,44
202.198.35.75,1,40
133.149.20.186,1,40
133.149.146.19,1,44
133.149.249.182,1,40
150.75.164.129,1,40
163.33.3.142,1,40
133.11.115.214,1,40
163.33.24.104,1,40
133.11.78.206,1,40
163.33.134.255,1,40
163.33.152.247,1,40
163.33.93.223,2,128
150.75.116.240,1,40
133.149.75.97,1,40
133.149.233.1,1,40
203.77.15.92,1,40
203.77.51.203,1,40
133.149.66.120,1,40
150.75.61.42,1,40
203.77.117.184,1,40
133.149.143.0,1,40
150.75.13.8,1,40
133.149.160.202,1,40
150.75.230.46,1,40
150.75.13.69,1,40
203.77.115.46,1,84
150.75.48.54,1,40
133.149.65.99,1,40
203.77.88.79,1,40
133.149.142.40,1,40
150.75.5.50,1,40
133.11.90.54,1,40
133.11.124.86,1,44
150.75.43.206,1,40
150.75.157.93,1,40
133.11.83.42,1,40
150.75.57.31,1,40
150.75.233.208,1,40
150.75.74.252,2,80
150.75.174.113,1,40
133.11.77.200,1,40
133.149.49.211,1,40
150.75.105.67,1,40
163.33.70.31,1,60
202.198.0.121,1,40
133.149.144.29,1,40
133.149.103.220,1,40
202.204.58.179,1,40
163.33.5.93,1,40
150.75.164.246,1,44
163.33.252.203,1,40
163.33.118.28,1,40
163.33.210.50,1,40
133.149.183.16,1,40
150.75.32.162,1,40
133.149.122.200,1,40
133.149.7.224,1,40
133.149.59.230,1,40
203.77.121.15,1,40
133.149.143.233,1,40
203.77.5.209,1,40
150.75.49.62,1,40
163.33.217.70,1,40
163.33.172.35,4,501
150.75.139.221,1,60
150.75.254.247,1,52
163.33.212.227,1,48
163.33.204.195,1,44
150.75.117.144,1,40
133.149.236.241,2,80
150.75.242.244,1,40
133.149.179.202,1,48
133.11.85.123,1,60
163.33.229.191,1,44
150.75.61.45,1,44
163.33.114.178,1,40
163.33.14.51,1,44
133.149.71.238,1,40
133.149.2.105,1,92
133.11.123.15,1,40
150.75.13.143,1,40
133.149.229.242,1,40
203.77.58.60,1,40
150.75.22.94,1,48
163.33.0.233,1,44
133.149.84.231,1,40
163.33.181.174,1,40
133.149.158.78,1,40
202.198.54.66,1,40
150.75.245.154,1,40
203.77.115.205,6,324
202.15.129.84,1,40
133.149.43.41,1,40
150.75.4.235,1,40
203.77.43.104,1,40
163.33.245.79,1,40
202.25.109.241,1,44
150.75.53.228,1,40
163.33.63.169,3,1140
150.75.31.223,1,40
133.11.70.178,3,164
163.33.38.133,1,40
133.149.197.146,1,40
150.75.117.37,1,48
150.75.238.28,1,40
133.149.52.100,1,40
133.11.95.225,1,40
163.33.128.193,1,40
133.149.74.129,1,40
150.75.116.169,1,40
163.33.105.142,1,40
133.149.249.163,1,40
133.149.48.147,1,40
133.149.161.60,1,40
150.75.169.186,1,40
133.11.118.203,2,80
203.77.126.113,1,40
150.75.247.81,1,40
133.149.64.98,1,40
203.77.119.8,1,40
133.149.38.234,1,40
202.198.7.117,2,184
202.198.4.238,1,40
150.75.210.0,1,40
150.75.234.214,1,40
150.75.151.122,1,40
133.149.94.114,1,44
163.33.73.146,1,40
163.33.186.80,1,44
133.11.112.189,1,40
133.149.234.123,1,44
163.33.97.52,1,52
133.149.228.200,1,40
203.77.53.26,1,40
150.75.69.96,1,44
150.75.234.115,1,40
163.33.197.82,1,40
133.149.204.108,1,40
203.77.86.62,1,40
150.75.191.154,1,40
150.75.175.109,1,40
133.149.212.89,1,40
133.149.46.185,1,44
150.75.22.107,1,58
133.11.123.49,1,40
133.149.109.212,1,40
203.77.46.238,1,40
163.33.125.3,1,60
203.77.122.214,1,40
163.33.157.57,1,40
133.149.52.243,1,40
202.204.62.47,1,40
150.75.63.164,1,40
150.75.179.175,1,40
150.75.9.35,1,40
163.33.236.166,2,111
150.75.122.172,1,40
150.75.63.0,1,40
202.198.32.70,1,44
203.77.100.45,1,40
133.149.31.167,1,576
133.149.122.187,1,40
203.77.49.64,1,44
150.75.199.233,1,32
150.75.71.75,1,52
150.75.124.162,2,104
150.75.203.203,1,40
133.149.202.213,1,52
133.149.224.72,1,44
202.198.20.57,1,44
202.198.58.255,1,40
203.77.83.161,1,40
203.77.64.229,1,40
133.149.96.250,1,40
163.33.19.173,1,160
163.33.180.160,1,40
133.149.78.47,1,40
133.149.49.120,1,40
150.75.187.24,1,76
203.77.89.232,1,32
202.198.15.90,1,96
133.149.194.200,1,40
163.33.139.141,1,40
133.11.85.18,1,40
133.11.107.204,1,40
150.75.20.173,1,44
163.33.104.70,1,40
163.33.175.1,1,52
203.77.113.245,4,467
203.77.90.119,1,40
150.75.203.132,1,40
203.77.102.97,1,40
133.11.98.29,1,40
133.11.114.27,1,40
133.11.98.48,1,40
150.75.213.64,1,40
163.33.94.39,24,24595
202.198.9.97,1,52
133.11.104.88,1,40
202.198.46.131,1,44
133.11.67.165,1,40
133.149.249.77,1,40
133.149.25.119,1,40
163.33.21.48,1,40
150.75.66.110,2,80
150.75.131.34,1,40
202.198.23.186,1,40
202.204.61.88,1,40
150.75.135.231,1,40
163.33.14.211,1,40
163.33.252.114,2,104
150.75.135.132,1,40
150.75.169.12,1,40
133.149.223.195,1,40
150.75.3.170,1,40
163.33.30.27,1,40
150.75.220.177,1,40
163.33.116.50,7,1070
133.149.198.59,1,40
133.149.46.122,1,40
150.75.244.3,1,44
133.11.105.13,1,44
203.77.90.8,1,40
163.33.44.129,1,40
133.149.119.54,2,80
163.33.26.146,1,40
150.75.113.30,1,40
163.33.158.229,1,40
163.33.132.248,1,40
133.149.243.147,1,40
133.11.106.164,1,40
150.75.113.215,1,40
133.149.68.151,1,44
163.33.35.145,1,40
133.149.193.152,1,40
133.11.87.64,1,40
133.149.120.103,1,44
163.33.175.188,1,40
163.33.224.31,1,40
133.149.34.43,1,40
133.11.70.171,2,80
203.77.23.34,1,44
150.75.119.95,1,40
150.75.84.42,1,40
203.77.94.10,1,32
133.149.191.154,1,40
150.75.248.228,1,40
133.149.14.244,1,40
150.75.135.129,1,40
163.33.106.222,1,40
133.149.111.2,1,76
163.33.218.211,1,40
133.149.45.77,1,40
150.75.143.98,1,40
150.75.131.137,1,40
150.75.91.28,1,40
150.75.179.222,1,40
163.33.187.29,1,40
163.33.105.106,361,539246
203.77.100.150,1,44
150.75.50.72,1,40
202.198.21.211,1,40
163.33.26.156,1,40
163.33.92.230,2,111
133.149.9.19,1,40
202.198.29.137,1,852
163.33.251.244,1,40
163.33.251.2,1,40
163.33.139.132,1,1356
133.149.243.201,1,40
150.75.132.12,1,40
203.77.57.81,1,52
150.75.169.178,1,40
133.149.160.231,1,40
163.33.35.215,1,40
133.11.119.80,1,40
150.75.76.174,1,40
133.149.97.49,1,40
133.149.236.12,1,40
202.198.26.167,1,40
150.75.60.103,1,40
133.149.120.5,1,40
150.75.71.56,1,40
133.11.119.249,1,40
202.198.17.49,1,48
202.198.10.252,1,40
163.33.178.139,1,40
202.198.47.41,1,40
150.75.71.211,1,40
202.198.42.225,1,40
133.11.120.163,1,40
133.149.122.230,1,44
150.75.113.134,1,40
133.11.84.204,1,40
150.75.232.207,1,40
133.11.124.21,1,40
133.149.49.19,1,52
150.75.1.133,1,40
150.75.152.12,1,40
202.198.26.120,1,40
203.77.115.8,1,84
163.33.157.224,1,40
202.25.109.134,1,40
133.149.137.12,1,40
163.33.223.27,1,40
150.75.137.133,1,40
133.11.119.9,1,40
203.77.101.177,1,40
150.75.162.54,1,52
203.77.46.220,1,40
133.11.92.162,1,40
150.75.135.192,1,40
163.33.32.58,1,52
150.75.186.73,1,40
203.77.45.94,1,40
133.149.163.202,1,121
133.11.116.170,1,40
203.77.53.218,1,44
163.33.141.42,3,413
203.77.60.84,1,44
202.198.16.111,1,40
133.11.101.242,1,40
133.149.60.143,1,40
133.149.12.34,1,40
133.149.159.77,1,40
150.75.116.62,1,40
133.149.142.62,1,44
202.204.57.112,1,40
203.77.98.188,1,32
150.75.212.113,1,40
163.33.219.227,1,52
203.77.98.199,1,32
133.11.110.157,1,40
133.11.88.165,1,40
163.33.160.104,1,44
203.77.69.57,1,60
163.33.53.17,1,40
133.149.217.246,1,40
133.149.39.181,1,40
202.204.58.0,1,40
163.33.195.186,363,494862
133.149.154.96,1,40
133.11.65.137,1,40
163.33.93.98,9,4941
203.77.55.241,1,40
163.33.168.93,2,143
150.75.16.84,1,40
150.75.26.14,1,44
133.149.220.168,1,40
133.149.121.29,1,44
163.33.207.51,1,40
163.33.151.58,1,40
133.149.176.35,1,40
202.198.62.38,1,40
133.11.124.8,1,40
133.11.110.55,1,40
163.33.226.226,1,68
133.11.85.238,1,40
150.75.220.128,1,43
150.75.116.69,1,40
203.77.27.71,2,120
133.149.213.1,1,40
133.11.118.74,1,40
133.11.121.183,1,40
163.33.239.80,1,44
163.33.206.133,1,40
163.33.227.176,1,40
133.149.220.104,1,40
150.75.20.23,1,40
150.75.31.205,1,40
150.75.66.2,1,40
133.11.70.198,2,104
133.149.25.34,1,40
203.77.7.147,1,44
203.77.55.161,1,40
133.149.153.4,1,40
163.33.155.69,1,40
133.11.79.190,1,40
150.75.22.167,1,48
163.33.123.52,1,40
133.11.106.197,1,40
133.149.89.71,1,40
133.149.234.5,1,40
133.149.225.49,1,40
150.75.231.123,1,40
133.149.215.57,1,40
133.149.2.72,1,44
133.149.196.14,1,40
150.75.171.217,1,40
203.77.91.31,1,44
203.77.32.160,1,40
133.149.156.178,1,40
163.33.24.56,1,40
150.75.111.130,1,40
150.75.28.34,1,44
163.33.220.141,1,40
150.75.198.25,1,40
150.75.190.174,3,120
133.149.160.143,1,40
133.149.46.83,1,40
150.75.179.48,1,40
150.75.218.60,1,40
203.77.83.188,1,40
150.75.62.80,1,44
163.33.41.30,1,40
150.75.111.37,1,40
133.149.243.251,1,40
203.77.120.220,1,40
163.33.67.18,1,127
203.77.104.23,1,40
150.75.181.0,1,40
203.77.125.166,1,48
203.77.4.124,1,40
163.33.108.22,1,40
133.11.123.103,1,40
133.11.88.80,1,40
163.33.14.94,1,40
133.149.99.178,1,40
203.77.4.50,1,40
150.75.220.229,1,40
163.33.142.126,1,44
163.33.71.7,1,40
150.75.246.183,1,40
150.75.118.116,1,40
150.75.146.73,1,40
163.33.109.87,1,40
150.75.203.112,1,40
150.75.162.168,1,40
150.75.198.99,1,40
133.149.239.157,1,40
150.75.134.114,1,40
133.149.128.9,1,40
163.33.35.165,1,40
203.77.67.9,1,44
163.33.131.13,1,40
150.75.198.33,1,40
163.33.183.25,1,40
203.77.87.216,1,40
163.33.92.53,1,83
133.149.139.5,1,40
163.33.191.204,1,103
203.77.119.11,1,40
133.11.66.106,1,40
150.75.197.22,1,40
133.11.110.17,1,40
163.33.39.94,1,40
150.75.188.63,1,40
163.33.10.210,1,40
163.33.78.172,1,40
133.149.203.15,1,40
202.198.45.134,1,40
163.33.57.85,1,40
133.11.127.11,1,40
203.77.117.181,1,40
163.33.223.128,1,40
133.149.211.222,1,40
203.77.98.143,1,40
150.75.165.186,1,40
150.75.51.79,1,40
133.149.199.25,1,40
133.149.150.177,1,40
202.198.4.136,1,40
133.11.103.186,1,40
150.75.8.14,1,40
150.75.106.91,1,40
133.149.120.170,1,40
133.149.218.102,1,40
133.149.99.106,1,44
163.33.239.179,1,44
133.149.140.243,1,44
163.33.255.222,1,40
133.11.97.252,1,40
133.149.206.10,1,40
133.11.100.102,1,40
133.149.243.128,1,44
150.75.155.166,1,44
163.33.153.5,1,48
203.77.107.249,1,44
133.149.104.188,1,44
150.75.234.49,1,40
133.11.66.12,1,40
163.33.26.91,1,40
150.75.191.168,1,40
150.75.148.250,1,40
150.75.13.108,1,44
163.33.26.122,1,40
133.149.250.204,1,40
163.33.112.162,1,40
203.77.30.240,1,40
150.75.51.7,1,40
203.77.23.189,1,40
203.77.18.87,1,40
133.11.71.234,1,40
202.198.38.115,1,40
163.33.40.67,1,60
133.11.98.250,1,44
150.75.179.3,1,40
150.75.68.157,1,40
202.198.60.136,1,40
133.149.196.225,1,40
150.75.26.192,1,48
150.75.222.85,1,40
133.11.73.243,1,40
150.75.26.65,1,40
150.75.118.164,1,40
133.149.194.13,1,40
150.75.26.117,1,40
202.198.5.100,1,40
163.33.58.120,1,40
163.33.155.45,1,40
133.149.18.129,1,40
203.77.73.14,1,40
133.149.239.186,1,40
163.33.249.66,1,40
133.149.18.92,1,40
150.75.195.7,1,60
133.11.97.249,1,40
133.149.38.154,1,40
133.11.73.166,1,40
133.149.232.23,1,40
133.149.164.35,1,44
203.77.74.47,1,40
163.33.84.151,1,40
133.149.104.195,1,44
150.75.25.101,1,40
150.75.223.76,1,40
150.75.206.120,1,40
133.149.77.198,1,40
163.33.77.136,1,40
133.149.239.185,1,40
133.149.104.216,1,44
202.198.22.49,1,40
163.33.119.36,1,40
203.77.116.15,1,44
150.75.96.119,1,40
150.75.155.253,1,40
202.25.109.32,1,40
150.75.207.200,1,44
202.25.109.125,1,40
203.77.23.2,1,40
163.33.57.161,2,308
203.77.96.12,1,40
163.33.160.9,1,44
150.75.201.164,1,40
203.77.49.60,2,80
150.75.131.8,1,40
203.77.40.233,1,40
202.198.22.132,1,40
163.33.0.89,1,44
133.149.65.101,1,40
203.77.103.49,1,44
203.77.119.183,1,44
150.75.37.78,1,44
150.75.230.216,1,40
133.149.113.88,1,40
133.149.184.239,2,505
150.75.178.171,1,40
203.77.105.154,1,40
202.198.3.0,1,40
163.33.86.223,1,44
163.33.181.246,1,40
150.75.92.235,1,40
203.77.52.23,1,40
203.77.3.114,1,48
203.77.92.91,1,40
163.33.29.64,1,40
163.33.43.27,1,40
133.149.204.113,1,40
150.75.131.28,1,44
133.149.158.79,1,40
150.75.91.133,1,40
150.75.49.9,1,40
150.75.147.120,1,40
202.204.60.71,1,64
150.75.91.121,1,40
133.11.73.7,1,40
202.204.59.150,1,60
163.33.95.49,75,90741
203.77.68.40,1,40
133.149.75.222,1,40
203.77.42.70,1,40
163.33.36.57,1,40
203.77.106.55,1,30
133.11.97.234,1,40
150.75.169.137,1,40
133.149.73.163,1,40
133.149.95.117,1,40
203.77.28.111,1,40
150.75.213.90,1,40
150.75.25.94,1,576
203.77.126.239,1,40
150.75.215.95,1,30
150.75.213.212,1,40
133.11.124.205,1,28
150.75.105.149,1,40
203.77.27.46,1,40
133.149.144.170,1,40
150.75.24.90,1,40
163.33.239.214,1,40
163.33.161.1,1,40
150.75.85.32,1,40
203.77.15.95,1,40
150.75.113.119,1,44
133.11.76.101,1,40
133.149.210.192,2,80
202.204.61.46,1,40
133.149.204.99,1,40
133.149.146.94,1,40
163.33.249.171,1,40
133.11.99.128,1,40
150.75.142.53,1,40
163.33.140.223,1,48
203.77.101.38,1,40
133.149.192.78,1,40
163.33.78.6,1,40
203.77.75.15,1,40
150.75.105.196,1,40
203.77.76.18,1,40
133.149.145.117,1,40
163.33.117.137,1,120
202.204.61.32,1,40
163.33.193.168,1,52
150.75.210.64,1,40
133.149.207.164,1,44
150.75.123.37,1,40
203.77.64.122,1,40
150.75.81.36,1,52
163.33.132.153,1,120
150.75.91.20,1,40
163.33.70.118,1,56
202.198.43.242,1,44
203.77.73.122,1,40
202.198.9.77,1,40
133.11.109.196,1,40
133.149.25.7,1,40
163.33.241.244,1,40
163.33.203.54,1,40
150.75.202.25,1,40
202.198.9.22,1,40
163.33.53.20,1,40
133.149.73.140,1,40
150.75.255.172,1,40
150.75.250.87,1,40
163.33.78.65,1,60
133.149.90.252,1,40
202.198.39.240,1,40
150.75.65.150,1,40
150.75.43.84,1,40
150.75.70.79,1,40
203.77.13.129,1,40
163.33.246.80,1,44
163.33.93.104,7,586
150.75.135.53,1,40
163.33.244.2,1,40
150.75.208.86,1,44
133.149.88.140,1,44
133.149.255.162,2,80
163.33.41.140,1,40
163.33.39.222,1,220
133.11.101.8,2,84
133.11.98.71,1,40
133.149.107.94,1,40
163.33.227.153,1,40
133.11.81.92,1,48
203.77.105.152,1,40
150.75.211.25,1,40
133.11.70.51,1,40
150.75.195.46,1,40
163.33.57.63,1,40
133.149.24.203,1,40
202.198.43.136,1,40
150.75.195.164,1,40
133.149.57.70,1,40
150.75.133.75,1,40
150.75.152.194,1,40
133.11.117.243,1,40
163.33.242.5,1,40
150.75.195.153,1,40
133.149.173.156,1,44
133.149.165.171,1,40
133.149.61.227,1,40
163.33.70.5,1,40
203.77.80.35,1,40
203.77.79.69,1,40
203.77.104.114,1,52
163.33.154.190,1,44
203.77.105.63,1,40
203.77.21.233,1,40
133.149.74.224,1,48
133.149.105.96,1,40
163.33.63.172,1,182
163.33.40.111,1,40
150.75.133.158,1,40
133.149.39.241,1,40
150.75.2.182,1,40
133.149.35.44,1,40
133.149.11.4,1,40
202.204.63.189,1,40
163.33.173.173,1,44
150.75.163.212,1,40
133.149.78.9,1,40
133.149.133.97,1,44
150.75.255.187,1,40
133.149.207.210,1,40
150.75.199.90,1,40
150.75.78.151,1,40
133.149.150.70,1,40
133.149.107.114,1,40
163.33.80.74,1,40
163.33.194.42,1,40
163.33.174.118,1,40
150.75.216.32,1,40
163.33.87.233,1,40
163.33.175.2,2,269
202.198.61.114,1,44
133.149.191.197,1,40
163.33.254.233,1,44
150.75.77.28,1,40
203.77.120.143,3,282
203.77.67.190,1,40
202.198.0.64,1,40
150.75.226.127,1,40
163.33.247.202,1,40
133.11.115.69,1,40
163.33.89.187,1,40
163.33.221.197,1,44
163.33.254.245,1,40
203.77.104.115,1,40
163.33.87.243,1,40
163.33.97.112,1,52
150.75.180.246,1,40
133.11.122.120,1,40
163.33.174.35,1,313
163.33.129.203,1,40
150.75.104.248,1,40
150.75.231.80,1,40
203.77.27.223,1,40
163.33.95.251,1,48
133.11.113.140,1,40
203.77.21.52,1,44
133.149.46.99,1,40
203.77.80.54,1,40
150.75.21.67,1,40
150.75.63.11,1,40
163.33.203.70,3,377
133.149.187.75,1,40
133.149.87.88,1,40
202.198.17.170,1,40
133.11.81.237,1,48
163.33.53.147,1,40
150.75.250.4,1,40
150.75.51.59,1,40
150.75.191.98,1,40
202.198.59.111,1,40
150.75.31.62,1,40
163.33.242.249,1,58
163.33.117.170,1,40
133.11.87.203,1,60
150.75.19.211,1,40
133.149.78.65,1,40
133.149.115.169,1,40
150.75.97.236,1,40
163.33.97.152,1,40
203.77.31.215,1,40
150.75.66.39,1,40
163.33.50.105,1,40
133.149.43.81,1,44
163.33.63.230,1,40
202.198.27.174,1,40
203.77.126.14,1,44
133.149.169.152,1,40
163.33.128.165,1,40
150.75.98.193,1,40
163.33.198.43,1,40
203.77.3.103,1,40
163.33.143.2,1,44
133.149.75.42,1,40
163.33.91.57,1,44
203.77.87.45,1,40
150.75.196.89,1,40
150.75.44.89,1,40
133.11.107.55,1,40
133.149.210.94,2,80
203.77.44.127,1,40
133.149.65.168,1,44
163.33.200.242,1,40
203.77.23.238,1,40
133.149.132.146,1,40
133.149.68.230,1,52
150.75.38.37,1,40
133.149.222.177,1,40
163.33.126.213,1,40
203.77.106.125,1,40
150.75.34.20,1,40
202.198.15.145,1,40
133.11.75.5,1,40
133.11.85.70,1,40
163.33.188.47,2,174
150.75.210.89,1,40
150.75.99.119,1,40
163.33.13.11,1,40
150.75.173.209,1,40
150.75.91.151,1,40
163.33.255.40,1,40
150.75.52.97,1,44
133.149.172.162,1,40
133.149.63.247,2,80
203.77.105.19,1,40
150.75.234.12,1,40
150.75.46.100,1,40
203.77.123.111,1,48
203.77.88.1,1,40
163.33.223.124,1,40
133.149.119.158,1,40
133.149.66.4,1,40
133.11.88.183,1,44
150.75.99.32,1,68
202.198.47.85,1,40
202.198.50.222,1,44
133.149.208.36,1,44
203.77.127.49,2,157
163.33.239.82,1,48
133.149.201.144,1,40
163.33.232.160,1,40
133.149.61.114,1,294
150.75.16.75,1,40
133.149.90.121,1,40
150.75.245.141,1,40
163.33.107.118,1,40
133.149.196.84,1,48
163.33.92.72,1,40
163.33.152.26,1,40
133.149.72.54,1,40
150.75.139.145,1,48
163.33.125.7,2,88
133.149.112.12,1,40
163.33.242.208,1,40
163.33.180.102,1,40
163.33.38.159,1,40
150.75.87.29,1,40
163.33.140.248,1,1046
150.75.201.171,2,624
133.149.12.185,1,40
133.149.249.102,1,44
203.77.93.29,1,40
150.75.26.248,1,40
163.33.31.57,1,40
203.77.80.161,1,40
150.75.79.82,1,40
133.149.59.12,1,40
163.33.206.117,1,40
163.33.198.238,1,40
203.77.1.195,1,40
163.33.174.19,719,1077336
133.149.137.225,1,40
163.33.94.163,2,132
163.33.26.157,1,40
133.11.90.178,1,40
133.149.224.82,1,40
150.75.133.69,1,44
202.198.11.151,1,40
150.75.94.163,1,44
133.11.127.47,1,44
203.77.9.123,1,40
133.11.77.134,1,40
133.11.92.115,1,40
203.77.57.172,1,40
150.75.197.13,1,40
133.149.214.254,1,40
150.75.179.140,1,40
150.75.227.248,1,40
150.75.87.229,1,40
133.149.50.53,1,40
150.75.32.54,1,40
133.149.214.202,1,40
133.149.163.146,1,40
150.75.220.172,1,40
150.75.250.254,1,40
163.33.46.249,1,48
133.11.82.51,1,48
163.33.166.44,1,52
202.25.107.234,1,52
133.149.116.160,1,48
150.75.225.73,1,576
133.149.100.53,1,40
133.149.224.192,1,40
203.77.42.113,1,40
150.75.154.219,1,40
133.149.210.179,1,40
150.75.162.78,1,40
133.149.219.205,1,40
150.75.75.192,1,40
133.149.138.250,1,40
150.75.196.146,1,40
202.198.24.64,1,40
163.33.160.189,1,40
133.149.127.194,1,40
150.75.236.52,1,40
163.33.96.71,1,44
203.77.89.13,1,40
163.33.66.148,1,40
163.33.191.236,1,103
133.149.145.6,1,40
203.77.58.117,1,44
163.33.14.185,1,40
133.149.69.177,1,40
163.33.82.28,1,40
133.149.178.211,1,40
203.77.45.134,1,40
163.33.118.72,1,48
163.33.166.70,1,71
133.149.96.193,1,40
203.77.94.9,1,40
150.75.250.150,1,40
133.149.214.131,1,40
133.11.110.218,1,44
202.198.14.174,1,40
150.75.220.113,1,40
150.75.120.34,1,40
150.75.242.177,1,40
163.33.137.180,1,40
203.77.41.205,1,40
150.75.176.110,1,40
163.33.4.92,1,40
150.75.154.163,1,40
133.149.50.66,1,40
202.198.55.248,1,48
163.33.213.227,1,40
133.149.126.131,1,40
150.75.224.249,1,44
163.33.147.179,1,48
133.149.82.23,1,40
150.75.59.101,1,40
133.149.47.161,1,40
202.204.63.197,1,40
133.149.123.11,1,40
133.149.160.130,1,40
133.149.13.156,1,40
203.77.60.233,1,40
163.33.211.19,3,267
163.33.252.51,1,40
203.77.95.188,1,40
150.75.29.68,1,40
163.33.141.193,6,832
203.77.70.64,1,40
133.149.48.113,1,40
163.33.137.94,1,40
150.75.87.219,1,40
150.75.54.99,1,40
203.77.27.152,1,40
150.75.86.11,1,40
163.33.132.198,20,3002
133.149.69.81,1,40
133.149.104.191,1,40
203.77.82.83,1,44
133.149.77.30,1,40
203.77.43.255,1,44
163.33.126.255,1,40
163.33.230.153,1,40
150.75.205.35,1,40
202.198.12.57,1,40
203.77.18.164,1,40
133.11.80.93,1,40
150.75.103.176,1,44
163.33.201.4,1,52
150.75.75.65,4,176
133.149.245.229,1,40
163.33.100.36,1,40
133.149.186.28,1,578
150.75.57.54,1,40
150.75.80.20,1,40
133.149.172.17,1,40
133.149.119.229,1,40
150.75.85.35,1,44
202.198.8.221,1,40
203.77.31.169,1,40
133.149.86.241,1,40
133.149.196.201,1,40
133.11.112.58,1,44
163.33.33.60,1,40
163.33.76.169,1,40
163.33.182.128,1,44
203.77.17.254,1,44
163.33.228.128,1,40
133.149.206.231,1,40
150.75.245.198,1,40
202.198.60.47,2,80
150.75.189.254,1,48
150.75.243.198,1,44
163.33.253.8,1,40
202.204.61.121,1,40
202.198.39.223,1,52
133.149.227.98,1,40
133.149.14.113,1,40
203.77.102.234,1,40
133.149.89.9,1,40
133.149.196.127,1,40
133.149.113.78,1,40
203.77.101.197,1,44
133.11.119.126,1,44
163.33.67.47,1,40
133.11.70.26,1,44
203.77.109.2,1,40
133.149.243.184,1,84
150.75.61.95,1,40
133.149.153.214,1,40
163.33.237.229,1,40
163.33.87.180,1,40
163.33.236.184,1,40
133.149.209.228,1,40
203.77.54.59,1,40
133.149.59.40,1,40
150.75.0.226,1,40
163.33.82.217,1,44
163.33.105.247,1,40
203.77.114.103,4,215
133.149.73.41,1,40
163.33.76.153,1,40
150.75.213.167,1,40
150.75.78.101,1,40
150.75.37.88,1,40
150.75.242.222,1,40
163.33.19.137,1,40
133.149.18.236,2,84
163.33.138.17,1,40
150.75.28.5,1,40
163.33.0.100,1,40
133.11.81.244,1,44
163.33.128.70,1,40
163.33.240.144,1,40
163.33.221.117,1,40
150.75.54.102,1,40
150.75.87.194,1,40
163.33.227.121,1,40
150.75.161.79,1,40
133.149.15.82,1,40
163.33.95.114,1,71
133.149.60.248,1,40
203.77.58.94,1,40
150.75.193.57,1,40
163.33.242.176,1,44
203.77.106.239,1,40
133.149.75.119,1,40
133.149.55.139,1,44
133.149.188.199,1,40
133.149.207.59,1,40
133.149.43.61,1,44
150.75.101.183,1,40
133.149.121.70,1,40
133.11.80.113,1,40
163.33.81.81,1,48
150.75.69.43,1,44
150.75.232.157,1,40
163.33.143.249,1,40
133.149.44.109,1,44
163.33.116.100,1,40
202.198.22.217,1,40
133.149.85.95,1,40
150.75.29.76,1,40
133.149.202.190,1,40
150.75.233.243,1,40
203.77.122.167,1,40
202.198.63.104,1,40
202.198.17.83,1,40
150.75.68.11,1,40
150.75.12.21,1,40
150.75.98.61,1,44
150.75.87.69,1,40
133.149.73.88,1,40
150.75.48.189,1,40
163.33.163.34,1,40
150.75.78.49,1,40
150.75.33.114,1,40
133.149.69.152,1,52
163.33.206.67,1,40
202.198.14.97,1,40
163.33.46.233,1,44
150.75.26.43,5,2176
163.33.177.62,1,40
150.75.126.12,1,40
150.75.53.160,1,40
150.75.65.90,1,40
